,smu,s5,s25,s75,s95,species_full
0,0.43580883335286924,-0.7335947879514829,-0.011079471221469406,0.9260980785833836,1.6985651098351813,Galeocerdo cuvier
0,0.5327591252513053,-0.27937497769904096,0.1789620665772952,0.8525804975670862,1.3410075277529414,Carcharhinus obscurus
0,0.7015604195297115,-0.008577425108580835,0.3832101062395262,1.005993933140215,1.453275022503728,Carcharhinus albimarginatus
0,0.5628850608895668,-0.0951020068595518,0.3034376901879868,0.8903077514916562,1.4303943793615481,Carcharhinus falciformis
0,1.4704358005859386,0.8078191144548762,1.2131294506635604,1.7492379116983308,2.1150877671160546,Carcharhinus amboinensis
0,0.3474941800348806,-0.31258744884385237,0.0831097659775678,0.6661516052017054,1.2067194426599255,Carcharhinus brachyurus
0,0.44378495971726695,-0.19064010670606052,0.1925803004726849,0.7616831907010901,1.2767568783654417,Carcharhinus plumbeus
0,0.9202337215942435,0.42097524297368216,0.6934420717779732,1.1412979092005788,1.5038599067402685,Carcharhinus leucas
0,2.09261549542068,1.3612190557396036,1.7931683053296759,2.3887029277900833,2.752376983305737,Carcharhinus brevipinna
0,1.2072274359906399,0.6110499538269306,0.9568849665885641,1.4631401334703977,1.8462274411630966,Triaenodon obesus
0,1.3408075948698182,0.8901230217965144,1.13880338836801,1.5571150562943206,1.8500247197281399,Negaprion brevirostris
0,1.5420494078073448,0.897778294394921,1.266494117611433,1.8309232786286855,2.253242333743684,Carcharhinus porosus
0,1.1951879649785955,0.629442343435112,0.9497806441187205,1.4446801410273633,1.85303370641689,Isogomphodon oxyrhynchus
0,2.0919631428216228,1.7582563839595315,1.9455662478409244,2.235614019227819,2.4333429680375516,Carcharhinus acronotus
0,2.4817527850982586,2.1135201185307757,2.3327252519261554,2.6363357869728294,2.831299420409997,Prionace glauca
0,1.024987655548073,0.12313284289842104,0.6253573202790054,1.4151790258800436,2.050581435147264,Carcharhinus signatus
0,2.305052525680658,1.749750003367873,2.062593535460061,2.5390684320661814,2.8685327139446914,Carcharhinus cautus
0,2.1399695392072875,1.7316467931087938,1.9691014910750957,2.303453404933892,2.569444328596812,Carcharhinus limbatus
0,2.4939319535984747,2.0437569485446643,2.3088833662902295,2.6656749137959235,2.9186284308447124,Carcharhinus galapagensis
0,2.509730587826616,1.8404988802487738,2.23733167472993,2.784563524491004,3.1412740836424784,Carcharhinus amblyrhynchos
0,2.5808473913939816,1.5076931254629802,2.1330636237290204,3.008392653622403,3.5684727209393103,Carcharhinus melanopterus
0,4.223782955910872,3.3615206187256246,3.9224007935857976,4.542560347298188,5.003315703910416,Carcharhinus longimanus
0,2.1832321147776144,1.633773753405528,1.965685152194131,2.4206629909221618,2.768393952204432,Carcharhinus tilstoni
0,4.239739505030656,3.397386803014744,3.9118424240984493,4.548235925599666,4.9631206549102505,Carcharhinus sorrah
0,3.8626229106215972,3.2292472763093705,3.574568080058244,4.154611658084548,4.567185723216573,Rhizoprionodon terraenovae
0,3.6700196472975075,2.7908674774690265,3.308403782480167,4.013630841064377,4.574885525018682,Carcharhinus isodon
0,5.23061766637009,4.165864878444969,4.842797963800054,5.672812131249346,6.268847993595586,Rhizoprionodon longurio
0,8.517333080775224,6.2027121256960775,7.595636326438676,9.359395186742606,10.678642072067118,Rhizoprionodon taylori
0,2.1991728966288413,1.6975040866566853,1.9997479544647259,2.3943381603396894,2.662012409553629,Grand Total
