,smu,species_full
0,0.5198760259793996,Galeocerdo cuvier
0,0.17749877730297414,Carcharhinus obscurus
0,0.16390438763933246,Carcharhinus albimarginatus
0,0.1262671031690566,Carcharhinus falciformis
0,0.9437726680411413,Carcharhinus amboinensis
0,-0.14012381054116052,Carcharhinus brachyurus
0,-0.042482343690062416,Carcharhinus plumbeus
0,0.29128511622730274,Carcharhinus leucas
0,1.4434374105937078,Carcharhinus brevipinna
0,0.4299137535685006,Triaenodon obesus
0,0.6089968837731605,Negaprion brevirostris
0,0.7235266072270949,Carcharhinus porosus
0,0.30956192129469584,Isogomphodon oxyrhynchus
0,1.179518186582147,Carcharhinus acronotus
0,1.514743870739506,Prionace glauca
0,0.0053752191958882575,Carcharhinus signatus
0,1.2483248262915134,Carcharhinus cautus
0,0.9484291069998194,Carcharhinus limbatus
0,1.2468472005227527,Carcharhinus galapagensis
0,1.2152954825084628,Carcharhinus amblyrhynchos
0,1.2103688254392406,Carcharhinus melanopterus
0,2.9896649171747125,Carcharhinus longimanus
0,0.8176304268742879,Carcharhinus tilstoni
0,2.656317838172713,Carcharhinus sorrah
0,2.345938993083536,Rhizoprionodon terraenovae
0,1.8121485443086132,Carcharhinus isodon
0,3.3614161498823076,Rhizoprionodon longurio
0,6.895449366793576,Rhizoprionodon taylori
0,1.349608558454362,Grand Total
