,a50mu,species_full,Stock,Region
0,13.750167448807321,Carcharhinus albimarginatus,STIP-57,Eastern Indian
0,14.014563745086434,Carcharhinus albimarginatus,STIP-71,Southwest Pacific
0,12.407058951214186,Carcharhinus altimus,BIG-31,Western Atlantic
0,16.288771919145468,Carcharhinus altimus,BIG-57,Eastern Indian
0,12.225898221022984,Carcharhinus altimus,BIG-71,Southwest Pacific
0,7.092991263241422,Carcharhinus amblyrhynchos,GRE-57,Eastern Indian
0,9.063505918538711,Carcharhinus amblyrhynchos,GRE-71,Southwest Pacific
0,8.715898056137167,Carcharhinus amblyrhynchos,GRE-77,Eastern Pacific
0,11.23556869256321,Carcharhinus amboinensis,PIG-51,Western Indian Ocean
0,11.062241156072414,Carcharhinus amboinensis,PIG-57,Eastern Indian
0,11.43510853636565,Carcharhinus amboinensis,PIG-71,Southwest Pacific
0,15.349947110586402,Carcharhinus brachyurus,COP-47,Southeast Atlantic
0,16.544396858897063,Carcharhinus brachyurus,COP-57,Eastern Indian
0,10.435777162962498,Carcharhinus brevipinna,SPIN-31,Western Atlantic
0,10.071475464196807,Carcharhinus brevipinna,SPIN-51,Western Indian Ocean
0,10.406864381999695,Carcharhinus brevipinna,SPIN-57,Eastern Indian
0,2.7503067879506493,Carcharhinus cautus,NER-71,Southwest Pacific
0,-0.5906309009063906,Carcharhinus coatesi,COA-71,Southwest Pacific
0,0.2898375677587289,Carcharhinus dussumieri,WCH-57,Eastern Indian
0,0.2768248312531251,Carcharhinus dussumieri,WCH-71,Southwest Pacific
0,15.478139961412001,Carcharhinus falciformis,SIL-21,Northwest Atlantic
0,14.340778894914902,Carcharhinus falciformis,SIL-31,Western Atlantic
0,14.52737965881392,Carcharhinus falciformis,SIL-51,Western Indian Ocean
0,14.72925610117431,Carcharhinus falciformis,SIL-57,Eastern Indian
0,15.977547951345883,Carcharhinus falciformis,SIL-61,Northwest Pacific
0,12.130488352831552,Carcharhinus falciformis,SIL-77,Eastern Pacific
0,0.31247745204503524,Carcharhinus fitzroyensis,CRE-71,Southwest Pacific
0,12.071223206029797,Carcharhinus galapagensis,GAL-21,Northwest Atlantic
0,11.990779205153007,Carcharhinus galapagensis,GAL-77,Eastern Pacific
0,11.600404215344502,Carcharhinus leucas,BULL-31,Western Atlantic
0,11.98633766197819,Carcharhinus leucas,BULL-47,Southeast Atlantic
0,11.787376723147077,Carcharhinus leucas,BULL-51,Western Indian Ocean
0,11.969963751310658,Carcharhinus leucas,BULL-57,Eastern Indian
0,11.789893394948859,Carcharhinus leucas,BULL-71,Southwest Pacific
0,7.001024792045429,Carcharhinus limbatus,BTIP-51,Western Indian Ocean
0,8.082569207959406,Carcharhinus limbatus,BTIP-57,Eastern Indian
0,8.236202497737647,Carcharhinus longimanus,OCW-21,Northwest Atlantic
0,7.791321108790447,Carcharhinus longimanus,OCW-41,Southwest Atlantic
0,7.48033421201945,Carcharhinus longimanus,OCW-57,Eastern Indian
0,4.264062980551323,Carcharhinus macloti,HRD-51,Western Indian Ocean
0,4.24487490073869,Carcharhinus macloti,HRD-57,Eastern Indian
0,4.314499850053068,Carcharhinus macloti,HRD-71,Southwest Pacific
0,3.798574636088233,Carcharhinus melanopterus,RBTIP-57,Eastern Indian
0,2.5954000498965417,Carcharhinus melanopterus,RBTIP-71,Southwest Pacific
0,19.06695545095498,Carcharhinus obscurus,DUS-31,Western Atlantic
0,18.425070142212597,Carcharhinus obscurus,DUS-47,Southeast Atlantic
0,17.54397156097135,Carcharhinus obscurus,DUS-57,Eastern Indian
0,18.812247528616616,Carcharhinus obscurus,DUS-61,Northwest Pacific
0,19.119783749737074,Carcharhinus obscurus,DUS-71,Southwest Pacific
0,8.00518838615678,Carcharhinus perezi,REE-31,Western Atlantic
0,12.661298149263127,Carcharhinus plumbeus,SAN-31,Western Atlantic
0,12.442590106883689,Carcharhinus plumbeus,SAN-57,Eastern Indian
0,12.470859100036392,Carcharhinus plumbeus,SAN-61,Northwest Pacific
0,13.49857012403722,Carcharhinus plumbeus,SAN-71,Southwest Pacific
0,1.5660050851398921,Carcharhinus porosus,SML-41,Southwest Atlantic
0,12.612789446229566,Carcharhinus signatus,NIG-31,Western Atlantic
0,12.353754832088505,Carcharhinus signatus,NIG-34,Eastern Atlantic
0,2.5611016022831206,Carcharhinus sorrah,SPT-51,Western Indian Ocean
0,2.846203464837836,Carcharhinus sorrah,SPT-57,Eastern Indian
0,21.72983609660869,Galeocerdo cuvier,TIG-21,Northwest Atlantic
0,21.730044082981934,Galeocerdo cuvier,TIG-31,Western Atlantic
0,21.543589140650646,Galeocerdo cuvier,TIG-57,Eastern Indian
0,21.685464160024594,Galeocerdo cuvier,TIG-61,Northwest Pacific
0,21.38845807465492,Galeocerdo cuvier,TIG-77,Eastern Pacific
0,4.3893773833906184,Isogomphodon oxyrhynchus,DAG-41,Southwest Atlantic
0,-0.053964289370905846,Loxodon macrorhinus,SLIT-51,Western Indian Ocean
0,0.7134066011647573,Loxodon macrorhinus,SLIT-57,Eastern Indian
0,-0.6324973665579574,Loxodon macrorhinus,SLIT-71,Southwest Pacific
0,9.35786695283528,Negaprion acutidens,SIK-51,Western Indian Ocean
0,9.298606176924949,Negaprion acutidens,SIK-57,Eastern Indian
0,9.654351104224055,Negaprion brevirostris,LEM-21,Northwest Atlantic
0,9.647121536060862,Negaprion brevirostris,LEM-31,Western Atlantic
0,10.875404714294927,Prionace glauca,BLU-21,Northwest Atlantic
0,10.311415964642318,Prionace glauca,BLU-31,Western Atlantic
0,10.751383627661014,Prionace glauca,BLU-34,Eastern Atlantic
0,10.203339526442427,Prionace glauca,BLU-41,Southwest Atlantic
0,9.912474241222071,Prionace glauca,BLU-51,Western Indian Ocean
0,10.235436206808425,Prionace glauca,BLU-57,Eastern Indian
0,9.649131476183808,Prionace glauca,BLU-67,Northeast Pacific
0,10.688414305265304,Prionace glauca,BLU-71,Southwest Pacific
0,7.227246506094216,Rhizoprionodon acutus,BLU-77,Eastern Pacific
0,-2.17041522417688,Rhizoprionodon lalandii,BSHP-41,Southwest Atlantic
0,1.0370295488722467,Rhizoprionodon longurio,PSHP-77,Eastern Pacific
0,-4.983998322350843,Rhizoprionodon oligolinx,GSHP-51,Western Indian Ocean
0,6.974395891527559,Rhizoprionodon porosus,CSHP-41,Southwest Atlantic
0,-1.1485168112416106,Rhizoprionodon taylori,AUSH-57,Eastern Indian
0,-1.0054979264826394,Rhizoprionodon taylori,AUSH-71,Southwest Pacific
0,-6.918918388078747,Scoliodon laticaudus,SPD-51,Western Indian Ocean
0,9.954436455218236,Triaenodon obesus,WHT-51,Western Indian Ocean
0,10.350595238319311,Triaenodon obesus,WHT-57,Eastern Indian
0,10.505363324749812,Triaenodon obesus,WHT-77,Eastern Pacific
