,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
a50x[0],9.805,1.376,7.253,12.498,0.082,0.058,282,282,282,555,1.01
a50x[1],8.596,1.687,5.404,11.82,0.081,0.057,433,433,436,597,1
a50x[2],8.172,0.963,6.454,10,0.061,0.044,248,245,251,575,1.01
a50x[3],7.223,0.962,5.521,9.059,0.061,0.044,248,245,251,568,1.01
a50x[4],6.671,0.795,5.225,8.129,0.043,0.03,348,348,347,628,1
a50x[5],6.746,0.692,5.37,7.954,0.038,0.027,324,324,326,480,1
a50x[6],6.25,0.693,4.872,7.458,0.038,0.027,325,325,327,488,1
a50x[7],6.595,0.953,4.782,8.383,0.059,0.042,258,258,261,556,1
a50x[8],10.837,0.954,9.07,12.665,0.059,0.042,259,259,263,572,1
a50x[9],7.124,0.959,5.306,8.921,0.059,0.042,263,263,265,572,1
a50x[10],9.224,1.979,5.753,13.073,0.07,0.051,806,748,803,1348,1
a50x[11],9.755,1.146,7.349,11.723,0.069,0.049,272,272,278,507,1
a50x[12],9.863,1.147,7.591,11.959,0.069,0.049,273,273,279,427,1
a50x[13],9.902,0.907,8.191,11.541,0.055,0.039,275,275,280,387,1
a50x[14],11.166,0.907,9.445,12.79,0.055,0.039,275,275,280,397,1
a50x[15],8.259,1.95,4.272,11.623,0.08,0.058,590,571,595,778,1
a50x[16],8.264,1.269,5.854,10.655,0.074,0.052,295,295,296,353,1
a50x[17],4.551,1.252,2.438,7.035,0.06,0.042,441,441,451,584,1
a50x[18],12.07,1.144,9.989,14.152,0.065,0.046,310,305,316,466,1
a50x[19],6.543,1.144,4.472,8.67,0.065,0.047,311,302,316,460,1
a50x[20],6.104,1.18,3.8,8.209,0.059,0.042,395,395,398,640,1
a50x[21],9.072,1.293,6.732,11.48,0.073,0.052,310,310,318,511,1
a50x[22],7.299,1.121,5.099,9.416,0.053,0.038,443,426,453,492,1
Lmax,0.933,1.736,-2.469,4.011,0.079,0.056,485,485,486,740,1
Depth,3.319,1.068,1.354,5.285,0.055,0.039,374,374,378,600,1
K,-1.064,1.326,-3.603,1.248,0.067,0.047,394,394,396,706,1.01
Interbirth_interval,1.894,1.344,-0.904,4.194,0.083,0.059,262,262,263,410,1.01
Amax,4.002,1.582,0.863,6.884,0.085,0.06,347,347,351,489,1
Litter,1.815,1.249,-0.459,4.234,0.057,0.04,479,479,483,697,1.01
