,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
a50x[0],9.875,1.304,7.295,12.327,0.056,0.04,539,539,545,754,1
a50x[1],8.574,1.755,5.443,12.022,0.084,0.06,431,426,432,636,1.01
a50x[2],8.117,0.894,6.453,9.747,0.051,0.036,310,310,313,414,1
a50x[3],7.168,0.895,5.497,8.783,0.051,0.036,309,309,311,411,1
a50x[4],6.743,0.774,5.185,8.146,0.038,0.027,416,415,416,546,1.01
a50x[5],6.799,0.666,5.562,8.061,0.035,0.025,355,351,355,579,1.01
a50x[6],6.304,0.665,5.014,7.516,0.035,0.025,355,350,354,542,1.01
a50x[7],6.474,0.876,4.767,8.052,0.047,0.034,349,338,351,625,1
a50x[8],10.715,0.876,9.067,12.353,0.047,0.033,352,343,353,600,1
a50x[9],7.004,0.879,5.263,8.549,0.047,0.034,344,333,346,589,1
a50x[10],9.096,2.045,5.003,12.65,0.073,0.052,793,774,800,849,1
a50x[11],9.743,1.083,7.665,11.836,0.052,0.037,430,423,436,565,1
a50x[12],9.852,1.083,7.912,12.071,0.052,0.037,431,424,436,568,1
a50x[13],9.931,0.893,8.252,11.614,0.045,0.032,395,395,402,643,1
a50x[14],11.194,0.893,9.521,12.874,0.045,0.032,395,395,402,622,1
a50x[15],8.169,2.034,4.396,11.986,0.082,0.058,616,616,621,655,1.01
a50x[16],8.736,1.342,6.211,11.297,0.059,0.042,518,518,520,558,1
a50x[17],4.498,1.325,2.157,7.056,0.067,0.047,392,392,393,574,1
a50x[18],11.853,1.13,9.904,14.046,0.059,0.042,364,364,364,589,1
a50x[19],6.329,1.129,4.33,8.451,0.059,0.042,364,364,364,589,1
a50x[20],6.196,1.172,3.951,8.33,0.057,0.04,422,422,424,739,1
a50x[21],9.279,1.239,6.775,11.536,0.054,0.039,519,519,517,739,1
a50x[22],7.442,1.101,5.587,9.707,0.049,0.035,510,500,519,701,1
Lmax,1.103,1.655,-2.059,4.203,0.078,0.055,451,451,455,676,1
DepthMax,3.495,1.086,1.521,5.427,0.049,0.034,496,496,500,761,1.01
K,-1.11,1.246,-3.39,1.217,0.063,0.045,391,391,389,586,1.01
Interbirth_interval,1.948,1.273,-0.509,4.358,0.058,0.041,485,485,487,710,1
Amax,3.757,1.557,1.062,6.944,0.07,0.049,502,502,503,866,1
Litter,1.793,1.261,-0.464,4.297,0.055,0.039,535,535,536,782,1
Offspring_size,2.01,1.4,-0.465,4.788,0.068,0.048,429,429,429,733,1
Trophic,2.225,1.244,-0.159,4.61,0.064,0.045,379,379,380,658,1
Sx[0],2.011,0.053,1.91,2.109,0.001,0.001,2389,2383,2397,1461,1
Sx[1],6.436,0.415,5.706,7.203,0.013,0.009,1058,1006,1344,768,1.01
Sx[2],2.666,0.078,2.522,2.816,0.002,0.001,1584,1554,1655,835,1
Sx[3],4.443,0.192,4.105,4.802,0.004,0.003,1916,1877,2089,1442,1
Sx[4],3.061,0.08,2.925,3.228,0.002,0.001,2314,2303,2310,1166,1
Sx[5],3.081,0.141,2.837,3.369,0.006,0.004,620,582,756,164,1
Sx[6],3.061,0.078,2.914,3.205,0.002,0.001,1597,1596,1606,1379,1
Sx[7],1.325,0.028,1.271,1.375,0.001,0,2352,2341,2350,1343,1
Sx[8],0.386,0.004,0.378,0.395,0,0,2302,2302,2310,1534,1
Sx[9],1.657,0.038,1.585,1.729,0.001,0.001,1729,1725,1707,1357,1
Sx[10],1.166,0.024,1.121,1.208,0.001,0,1657,1642,1720,1200,1
Sx[11],0.662,0.01,0.644,0.68,0,0,2109,2108,2113,1348,1
Sx[12],0.983,0.017,0.951,1.015,0,0,2159,2159,2154,1386,1
Sx[13],2.443,0.08,2.308,2.597,0.002,0.001,1749,1740,1758,1066,1
Sx[14],1.546,0.036,1.478,1.614,0.002,0.001,490,472,588,291,1
Sx[15],5.419,0.783,4.12,6.852,0.051,0.04,234,191,372,132,1
Sx[16],2.097,0.055,1.993,2.197,0.001,0.001,2073,2073,2070,1505,1
Sx[17],2.243,0.057,2.135,2.348,0.001,0.001,2188,2188,2192,1502,1
Sx[18],0.484,0.006,0.473,0.495,0,0,1458,1456,1527,1209,1
Sx[19],0.657,0.01,0.64,0.675,0,0,1862,1862,1803,1363,1
Sx[20],2.636,0.074,2.51,2.779,0.002,0.001,1379,1379,1418,1356,1
Sx[21],4.956,0.423,4.299,5.814,0.013,0.01,1016,897,1497,734,1
Sx[22],1.196,0.023,1.151,1.234,0.001,0,1810,1807,1838,1471,1
Ga50,8.28,0.48,7.4,9.189,0.011,0.008,1847,1847,1874,1265,1
a50_sigma,2.293,0.42,1.543,3.084,0.014,0.01,969,940,1042,1109,1
GS,2.395,0.403,1.659,3.093,0.027,0.022,220,161,407,150,1
S_sigma,1.683,0.273,1.24,2.226,0.008,0.006,1232,1165,1556,1501,1
mu_a50[0],6.027,0.014,6,6.055,0,0,1989,1989,1983,1657,1
mu_a50[1],1.585,0.027,1.535,1.632,0.001,0.001,1394,1383,1477,1354,1
mu_a50[2],2.284,0.014,2.257,2.308,0,0,2017,2014,2046,1817,1
mu_a50[3],1.334,0.016,1.305,1.364,0,0,1995,1995,2000,1693,1
mu_a50[4],4.507,0.013,4.483,4.532,0,0,1830,1830,1825,1624,1
mu_a50[5],5.002,0.011,4.983,5.023,0,0,2118,2117,2107,1535,1
mu_a50[6],4.507,0.012,4.482,4.529,0,0,1776,1774,1776,1135,1
mu_a50[7],5.876,0.017,5.842,5.907,0,0,1856,1856,1856,1557,1
mu_a50[8],10.116,0.033,10.053,10.174,0.001,0.001,1862,1861,1874,1311,1
mu_a50[9],6.364,0.016,6.334,6.394,0,0,1726,1726,1728,1436,1
mu_a50[10],21.859,0.019,21.825,21.899,0,0,1919,1919,1921,1643,1
mu_a50[11],19.846,0.025,19.799,19.891,0.001,0,1863,1863,1864,1290,1
mu_a50[12],19.955,0.021,19.915,19.993,0,0,1858,1858,1858,1851,1
mu_a50[13],3.918,0.013,3.893,3.941,0,0,1982,1982,1993,1557,1
mu_a50[14],5.182,0.017,5.15,5.212,0,0,1899,1899,1901,1409,1
mu_a50[15],10.998,0.006,10.987,11.01,0,0,2134,2134,2127,1716,1
mu_a50[16],6.772,0.014,6.747,6.8,0,0,2023,2023,2026,1941,1
mu_a50[17],4.306,0.014,4.28,4.332,0,0,2016,2016,2010,1573,1
mu_a50[18],18.62,0.03,18.565,18.676,0.001,0,1874,1874,1846,1289,1
mu_a50[19],13.096,0.026,13.052,13.146,0.001,0,1844,1844,1844,1839,1
mu_a50[20],7.719,0.013,7.695,7.744,0,0,1858,1858,1864,1815,1
mu_a50[21],2.22,0.019,2.184,2.255,0.001,0,1222,1222,1375,804,1
mu_a50[22],7.996,0.019,7.961,8.031,0,0,1997,1996,1992,1634,1
mu_S[0],2.011,0.053,1.91,2.109,0.001,0.001,2389,2383,2397,1461,1
mu_S[1],6.436,0.415,5.706,7.203,0.013,0.009,1058,1006,1344,768,1.01
mu_S[2],2.666,0.078,2.522,2.816,0.002,0.001,1584,1554,1655,835,1
mu_S[3],4.443,0.192,4.105,4.802,0.004,0.003,1916,1877,2089,1442,1
mu_S[4],3.061,0.08,2.925,3.228,0.002,0.001,2314,2303,2310,1166,1
mu_S[5],3.081,0.141,2.837,3.369,0.006,0.004,620,582,756,164,1
mu_S[6],3.061,0.078,2.914,3.205,0.002,0.001,1597,1596,1606,1379,1
mu_S[7],1.325,0.028,1.271,1.375,0.001,0,2352,2341,2350,1343,1
mu_S[8],0.386,0.004,0.378,0.395,0,0,2302,2302,2310,1534,1
mu_S[9],1.657,0.038,1.585,1.729,0.001,0.001,1729,1725,1707,1357,1
mu_S[10],1.166,0.024,1.121,1.208,0.001,0,1657,1642,1720,1200,1
mu_S[11],0.662,0.01,0.644,0.68,0,0,2109,2108,2113,1348,1
mu_S[12],0.983,0.017,0.951,1.015,0,0,2159,2159,2154,1386,1
mu_S[13],2.443,0.08,2.308,2.597,0.002,0.001,1749,1740,1758,1066,1
mu_S[14],1.546,0.036,1.478,1.614,0.002,0.001,490,472,588,291,1
mu_S[15],5.419,0.783,4.12,6.852,0.051,0.04,234,191,372,132,1
mu_S[16],2.097,0.055,1.993,2.197,0.001,0.001,2073,2073,2070,1505,1
mu_S[17],2.243,0.057,2.135,2.348,0.001,0.001,2188,2188,2192,1502,1
mu_S[18],0.484,0.006,0.473,0.495,0,0,1458,1456,1527,1209,1
mu_S[19],0.657,0.01,0.64,0.675,0,0,1862,1862,1803,1363,1
mu_S[20],2.636,0.074,2.51,2.779,0.002,0.001,1379,1379,1418,1356,1
mu_S[21],4.956,0.423,4.299,5.814,0.013,0.01,1016,897,1497,734,1
mu_S[22],1.196,0.023,1.151,1.234,0.001,0,1810,1807,1838,1471,1
S2,0.008,0,0.008,0.009,0,0,1659,1659,1623,1268,1
