Higher taxonomy,Order,Family,Species,Maximum size (cm),von Bertalanffy growth rate (k),Maximum Age,Age at maturity,Litter size,interbirth interval,rmax,Habitat,Reference
Subclass HOLOCEPHALI,Chimaeriformes,Callorhinchidae  ,Callorhinchus capensis,60,0.051,12,4.2,22,1,0.595,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass HOLOCEPHALI,Chimaeriformes,Callorhinchidae  ,Callorhinchus milii,97,0.224,15,4.5,13,1,0.556,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass HOLOCEPHALI,Chimaeriformes,Chimaeridae      ,Chimaera monstrosa,74,0.084,29.4,11.5,22,1,0.217,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Dasyatidae,Dasyatis americana,200,0.2,18,5.5,4.2,1,0.455,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Dasyatidae,Dasyatis chrysonota,71.9,0.07,10,7,6.2,1,0.357,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Dasyatidae,Dasyatis dipterura,83,0.05,28,9.5,2,1,0.263,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Dasyatidae,Dasyatis pastinaca,51,0.089,10,3.7,6.2,1,0.676,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Dasyatidae,Pteroplatytrygon violacea,96,0.41,24,3,4.5,1,0.833,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Mobulidae,Manta spp.,600,0.03 to 0.1,31,8 to 10,0.5,1 to 2,0.115,shallow,"Dulvy NK, Pardo SA, Simpfendorfer CA, Carlson JK. In Review. Diagnosing the dangerous demography of manta rays using life history theory. Peerj x: x."
Subclass NEOSELACHII - Cohort BATOIDEA,Myliobatiformes,Myliobatidae,Aetobatus flagellum,150,0.111,16,6,3.5,1,0.417,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
