Order,Family,Species,length_max,k,age_mat,age_max,ave_lifespan,litter_size,breeding interval,annual_productivity,rmax_published_previous,rmax_previous_recalc,rmax_updated_recalc,,,
Carchariniformes,Carcharhinidae,Carcharhinus acronotus,132.4,0.266,3.8,19,11.4,3.9,2,1.95,0.197,0.194015666,0.240679998,,,1.95
Carchariniformes,Carcharhinidae,Carcharhinus amblyrhynchos,190,0.294,6,12,9,4.1,2,2.05,0.174,0.173683078,0.142405571,,,2.05
Carchariniformes,Carcharhinidae,Carcharhinus brachyurus,275,0.049,20.9,34.5,27.7,16.6,2,8.3,0.145,0.144953281,0.123547339,,,8.3
Carchariniformes,Carcharhinidae,Carcharhinus brevipinna,294.1,0.1,9,19,14,8.5,2,4.25,0.209,0.208835461,0.179567468,,,4.25
Carchariniformes,Carcharhinidae,Carcharhinus cautus,133,0.198,6,16.4,11.2,4.2,2,2.1,0.177,0.17678905,0.166782051,,,2.1
Carchariniformes,Carcharhinidae,Carcharhinus falciformis,305,0.148,9,17.9,13.45,6.5,2,3.25,0.209,0.184803928,0.15549363,,,3.25
Carchariniformes,Carcharhinidae,Carcharhinus galapagensis,300,0.172,7.8,15,11.4,8.7,2,4.35,0.232,0.231372993,0.1925313,,,4.35
Carchariniformes,Carcharhinidae,Carcharhinus isodon,159.6,0.244,4.3,8,6.15,4,2,2,0.192,0.192111028,0.145865981,,,2
Carchariniformes,Carcharhinidae,Carcharhinus leucas,300.2,0.076,18,28,23,9.9,2,4.95,0.126,0.138274487,0.113908049,,,4.95
Carchariniformes,Carcharhinidae,Carcharhinus limbatus,191,0.21,6.5,10,8.25,4.6,2,2.3,0.182,0.181669732,0.131132696,,,2.3
Carchariniformes,Carcharhinidae,Carcharhinus longimanus,285,0.101,5.5,14,9.75,6.1,2,3.05,0.24,0.236531665,0.212197674,,,3.05
Carchariniformes,Carcharhinidae,Carcharhinus obscurus,357.2,0.043,20.5,34,27.25,10,3,3.333333333,0.11,0.110305811,0.091513707,,,3.333333333
Carchariniformes,Carcharhinidae,Carcharhinus plumbeus,226.5,0.093,11.4,22.4,16.9,7.9,2,3.95,0.181,0.173679841,0.147670951,,,3.95
Carchariniformes,Carcharhinidae,Carcharhinus porosus,128,0.076,6,24,15,4.5,1,4.5,0.278,0.277880039,0.275097452,,,4.5
Carchariniformes,Carcharhinidae,Carcharhinus signatus,260,0.114,10,31.7,20.85,11.1,2,5.55,0.217,0.216828202,0.20421129,,,5.55
Carchariniformes,Carcharhinidae,Carcharhinus sorrah,151.8,0.34,2.5,7,4.75,3.1,1,3.1,0.355,0.355261676,0.319844237,,,3.1
Carchariniformes,Carcharhinidae,Carcharhinus tilstoni,196,0.14,3.5,12,7.75,3,1,3,0.295,0.294504703,0.292007184,,,3
Carchariniformes,Carcharhinidae,Galeocerdo cuvier,410,0.184,10,22.5,16.25,31.5,2,15.75,0.317,0.304531056,0.271077723,,,15.75
Carchariniformes,Carcharhinidae,Isogomphodon oxyrhynchus,160,0.121,6.5,20,13.25,5,2,2.5,0.192,0.191707655,0.18527885,,,2.5
Carchariniformes,Carcharhinidae,Negaprion brevirostris,293.6,0.06,12.7,20,16.35,7.4,2,3.7,0.158,0.157628187,0.126349184,,,3.7
