SpecCode,Species,ComName,Language,in car trait db?
857,Carcharhinus acronotus,Blacknose shark,English,Carcharhinus acronotus
858,Carcharhinus albimarginatus,Shark,English,Carcharhinus albimarginatus
858,Carcharhinus albimarginatus,Silver-tip reef shark,English,Carcharhinus albimarginatus
858,Carcharhinus albimarginatus,Silvertip shark,English,Carcharhinus albimarginatus
858,Carcharhinus albimarginatus,Silver-tip shark,English,Carcharhinus albimarginatus
858,Carcharhinus albimarginatus,White fin,English,Carcharhinus albimarginatus
859,Carcharhinus altimus,Bignose shark,English,Carcharhinus altimus
859,Carcharhinus altimus,Bignose Shark,English,Carcharhinus altimus
859,Carcharhinus altimus,Knopp's shark,English,Carcharhinus altimus
860,Carcharhinus amblyrhynchoides,Grey reef shark,English,Carcharhinus amblyrhynchoides
860,Carcharhinus amblyrhynchoides,Graceful shark,English,Carcharhinus amblyrhynchoides
860,Carcharhinus amblyrhynchoides,Queensland shark,English,Carcharhinus amblyrhynchoides
861,Carcharhinus amblyrhynchos,Blacktail reef shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Black-tip reef shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Black-vee whaler,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Bronze whaler,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Fowler's whaler shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Grey reef shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Grey shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Graceful shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Graceful whaler shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Gray reef shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Grey whaler shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Longnose blacktail shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,School shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Shortnose blacktail shark,English,Carcharhinus amblyrhynchos
861,Carcharhinus amblyrhynchos,Whaler shark,English,Carcharhinus amblyrhynchos
862,Carcharhinus amboinensis,Ambon sharpnose puffer,English,Carcharhinus amboinensis
862,Carcharhinus amboinensis,Estuary shark,English,Carcharhinus amboinensis
862,Carcharhinus amboinensis,Java shark,English,Carcharhinus amboinensis
862,Carcharhinus amboinensis,Java Shark,English,Carcharhinus amboinensis
862,Carcharhinus amboinensis,Pigeye shark,English,Carcharhinus amboinensis
862,Carcharhinus amboinensis,Pigeye Shark,English,Carcharhinus amboinensis
863,Carcharhinus borneensis,Borneo shark,English,Carcharhinus borneensis
864,Carcharhinus brachyurus,Black-tipped whaler,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Bronze,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Bronze shark whaler,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Bronze whaler,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Bronze whaler shark,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Bronzie,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Cocktail,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Cocktail shark,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Cocktail whaler,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Copper shark,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Narrowtooth shark,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Narrow-tooth shark,English,Carcharhinus brachyurus
864,Carcharhinus brachyurus,Shark,English,Carcharhinus brachyurus
865,Carcharhinus brevipinna,Blacktipped shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Great blacktip shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Inkytail shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Large blacktip shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Longnose grey shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Long-nose grey shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Longnose grey whaler,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Smoothfang shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Spinner Shark,English,Carcharhinus brevipinna
865,Carcharhinus brevipinna,Spinner shark,English,Carcharhinus brevipinna
866,Carcharhinus cautus,Nervous shark,English,Carcharhinus cautus
866,Carcharhinus cautus,Sharks Bay whaler shark,English,Carcharhinus cautus
867,Carcharhinus dussumieri,Blacktip shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,Coates' shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,White check shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,White cheeked shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,Whitecheek shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,Whitecheek whaler,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,White-cheeked shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,White-cheeked whaler shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,Widemouth blackspot shark,English,Carcharhinus dussumieri
867,Carcharhinus dussumieri,Wide-mouth blackspot shark,English,Carcharhinus dussumieri
868,Carcharhinus falciformis,Blackspot shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Gray reef shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Grey whaler shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Olive shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Reef shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Ridgeback shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Sickle shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Sickle silk shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Sickle-shaped shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Silk shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Silky shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Silky Shark,English,Carcharhinus falciformis
868,Carcharhinus falciformis,Silky whaler,English,Carcharhinus falciformis
869,Carcharhinus fitzroyensis,Creek whaler,English,Carcharhinus fitzroyensis
869,Carcharhinus fitzroyensis,Creek whaler shark,English,Carcharhinus fitzroyensis
870,Carcharhinus galapagensis,Galapagos shark,English,Carcharhinus galapagensis
870,Carcharhinus galapagensis,Mackerel shark,English,Carcharhinus galapagensis
871,Carcharhinus hemiodon,Long nosed shark,English,Carcharhinus hemiodon
871,Carcharhinus hemiodon,Pondicherry shark,English,Carcharhinus hemiodon
872,Carcharhinus isodon,Eventooth shark,English,Carcharhinus isodon
872,Carcharhinus isodon,Finetooth Shark,English,Carcharhinus isodon
872,Carcharhinus isodon,Finetooth shark,English,Carcharhinus isodon
872,Carcharhinus isodon,Night shark,English,Carcharhinus isodon
872,Carcharhinus isodon,Shark,English,Carcharhinus isodon
872,Carcharhinus isodon,Smoothtooth shark,English,Carcharhinus isodon
873,Carcharhinus leucas,Bull shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Bullshark,English,Carcharhinus leucas
873,Carcharhinus leucas,Cub shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Estuary shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Estuary whaler shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Freshwater whaler,English,Carcharhinus leucas
873,Carcharhinus leucas,Ground shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Hervey Bay whaler shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Requin bouledogue,English,Carcharhinus leucas
873,Carcharhinus leucas,River whaler,English,Carcharhinus leucas
873,Carcharhinus leucas,River whaler shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Swan River whaler,English,Carcharhinus leucas
873,Carcharhinus leucas,Swan river whaler,English,Carcharhinus leucas
873,Carcharhinus leucas,Swan river whaler shark,English,Carcharhinus leucas
873,Carcharhinus leucas,Zambezi shark,English,Carcharhinus leucas
874,Carcharhinus limbatus,Black fin shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Black tip,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Black tip shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Blackfin shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Blacktip shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Blacktip Shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Black-tip shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Blacktip whaler,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Black-tipped shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Common blacktip shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Grey shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Requiem shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Small black tipped shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Small blacktip shark,English,Carcharhinus limbatus
874,Carcharhinus limbatus,Spot-fin ground shark,English,Carcharhinus limbatus
875,Carcharhinus longimanus,Brown Milbert's sand bar shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Brown shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Nigano shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Oceanic white tip shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Oceanic whitetip shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Oceanic Whitetip Shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Oceanic white-tip shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Oceanic white-tipped whaler,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Silvertip shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Whitetip,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Whitetip shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,White-tip shark,English,Carcharhinus longimanus
875,Carcharhinus longimanus,Whitetip whaler,English,Carcharhinus longimanus
876,Carcharhinus macloti,Hardnose shark,English,Carcharhinus macloti
876,Carcharhinus macloti,Maclot's shark,English,Carcharhinus macloti
877,Carcharhinus melanopterus,Black fin reef shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Black finned shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Black tip reef shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Black tip shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Black tips nilow,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Blackfin reef shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Blacktip reef shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Black-tip reef shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Blacktip reefshark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Blacktip shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Guliman,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Reef blacktip shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Requien shark,English,Carcharhinus melanopterus
877,Carcharhinus melanopterus,Shark,English,Carcharhinus melanopterus
878,Carcharhinus obscurus,Bay-shark,English,Carcharhinus obscurus
878,Carcharhinus obscurus,Black whaler,English,Carcharhinus obscurus
878,Carcharhinus obscurus,Black whaler shark,English,Carcharhinus obscurus
