region_name,location_name,common_name,latin_name,shark_id,max_sph,ave_sph,ratio,ref in cortes?
Coral Triangle,Cook Islands,Blacktip reef shark,Carcharhinus melanopterus,114,3.126984127,3.053287982,0.976432197,
Coral Triangle,Cook Islands,Eagle Rays,Aetobatus sp.,296,0.020408163,0.020408163,1,
Coral Triangle,Cook Islands,Grey reef shark,Carcharhinus amblyrhynchos,257,2.80952381,0.954192586,0.33962787,
Coral Triangle,Cook Islands,Ocellated eagle ray,Aetobatus ocellatus,196,0.436363636,0.166229522,0.380942655,
Coral Triangle,Cook Islands,Reef Manta,Mobula alfredi,339,0.031746032,0.031746032,1,
Coral Triangle,Cook Islands,Scalloped hammerhead shark,Sphyrna lewini,193,0.181818182,0.181818182,1,
Coral Triangle,Cook Islands,Silvertip shark,Carcharhinus albimarginatus,184,0.031746032,0.031746032,1,
Coral Triangle,Cook Islands,Tawny nurse shark,Nebrius ferrugineus,94,0.469387755,0.290249433,0.618357488,
Coral Triangle,Cook Islands,Unknown Manta,Mobula spp.,478,0.031746032,0.026077098,0.821428571,
Coral Triangle,Cook Islands,Unknown Ray,Unknown sp.,51,0.06122449,0.06122449,1,
Coral Triangle,Cook Islands,Unknown Shark,Unknown sp.,50,0.040816327,0.036281179,0.888888889,
Coral Triangle,Cook Islands,Whitetip reef shark,Triaenodon obesus,144,0.53968254,0.263052797,0.487421359,
Coral Triangle,Indonesia,Blacktip reef shark,Carcharhinus melanopterus,114,0.592592593,0.187630957,0.316627241,
Coral Triangle,Indonesia,Bluespotted fantail ray,Taeniura lymma,255,0.583333333,0.216830779,0.371709907,
Coral Triangle,Indonesia,Bluespotted maskray,Neotrygon kuhlii,158,0.704225352,0.233372366,0.33138876,
Coral Triangle,Indonesia,Broad Cowtail ray,Pastinachus ater,246,0.023121387,0.013490973,0.583484584,
Coral Triangle,Indonesia,Brown banded catshark/grey carpetshark,Chiloscyllium punctatum,234,0.105263158,0.078055308,0.741525424,
Coral Triangle,Indonesia,Common Blacktip shark,Carcharhinus limbatus,22,0.015873016,0.015873016,1,
Coral Triangle,Indonesia,Devil ray,Mobula sp.,297,0.666666667,0.15429538,0.231443069,
Coral Triangle,Indonesia,Eagle Rays,Aetobatus sp.,296,0.113402062,0.049088358,0.432870068,
