SpecCode,Species,Autoctr,Stockcode,PopCharRefNo,Sex,SourceRef,Wmax,TypeWeight,Lmax,Type,tmax,Locality,C_Code,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,Comments,SameWL,SameLt,TS
857,Carcharhinus acronotus,731,873,56138,female,31396,NA,NA,130,TL,4.5,Florida,840,3,28/02/2001 00:00,2,02/02/2006 00:00,NA,NA,NA,0,0,NA
857,Carcharhinus acronotus,5560,873,56138,female,56138,NA,NA,154,TL,5,Northwestern Atlantic,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
857,Carcharhinus acronotus,16456,873,96987,female,96987,NA,NA,NA,NA,11.5,eastern Gulf of Mexico,840,3,26/08/2014 00:00,NA,26/08/2014 00:00,NA,NA,NA,0,0,NA
857,Carcharhinus acronotus,5559,873,56138,male,31396,NA,NA,122,TL,2.5,Florida,840,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
857,Carcharhinus acronotus,5561,873,56138,male,56138,NA,NA,164,TL,6,Northwestern Atlantic,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
857,Carcharhinus acronotus,16455,873,96979,mixed,96979,NA,NA,NA,NA,15,off Pernambuco (07<b0>15'45'' S - 09<b0>28'18'' S),76,3,26/08/2014 00:00,NA,26/08/2014 00:00,NA,NA,NA,0,0,NA
857,Carcharhinus acronotus,3510,873,41394,unsexed,41394,NA,NA,200,NA,NA,Western Atlantic,NA,2,02/03/2004 00:00,NA,02/03/2004 00:00,NA,NA,NA,0,0,NA
858,Carcharhinus albimarginatus,5564,874,56138,female,56138,NA,NA,261,TL,NA,Northwestern Indian Ocean,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
858,Carcharhinus albimarginatus,5562,874,56138,female,NA,NA,NA,208,TL,NA,Southwestern Indian Ocean,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
858,Carcharhinus albimarginatus,5565,874,56138,male,56138,NA,NA,235,TL,NA,Northwestern Indian Ocean,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
858,Carcharhinus albimarginatus,5563,874,56138,male,56138,NA,NA,204,TL,NA,Southwestern Indian Ocean,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
858,Carcharhinus albimarginatus,16363,874,96339,unsexed,NA,NA,NA,300,TL,NA,Not specified.,9999,2291,04/08/2014 00:00,NA,04/08/2014 00:00,NA,NA,NA,0,0,NA
859,Carcharhinus altimus,5566,875,56138,female,56138,NA,NA,282,TL,NA,Northwestern Atlantic,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
859,Carcharhinus altimus,8249,875,13277,female,13277,NA,NA,158,SL,NA,"Gulf of Aqaba, 1991",376,97,17/03/2008 00:00,NA,24/03/2008 00:00,NA,NA,Recorded from 350 m deep.,0,0,NA
859,Carcharhinus altimus,9540,875,87400,female,87400,NA,NA,155,TL,NA,"off Muscat, 2010",512,2147,22/07/2011 00:00,393,22/07/2011 00:00,NA,NA,Recorded from 150 m depth.,0,0,NA
859,Carcharhinus altimus,5567,875,56138,male,56138,NA,NA,267,TL,NA,Northwestern Atlantic,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
859,Carcharhinus altimus,9538,875,87400,male,87400,NA,NA,110,TL,NA,"Muscat, 2009",512,2147,22/07/2011 00:00,393,22/07/2011 00:00,NA,NA,Recorded from 20 m depth.,0,0,NA
859,Carcharhinus altimus,9539,875,87400,male,87400,NA,NA,173,TL,NA,"off Muscat, 2010",512,2147,22/07/2011 00:00,393,22/07/2011 00:00,NA,NA,Recorded from 150 m depth.,0,0,NA
859,Carcharhinus altimus,732,875,27093,unsexed,27094,NA,NA,235,FL,NA,Northern American waters,840,3,04/08/1998 00:00,NA,04/08/1998 00:00,NA,NA,NA,0,0,NA
859,Carcharhinus altimus,16364,875,96339,unsexed,NA,NA,NA,300,TL,NA,Not specified.,9999,2291,05/08/2014 00:00,NA,05/08/2014 00:00,NA,NA,NA,0,0,NA
860,Carcharhinus amblyrhynchoides,5568,876,56138,female,56138,NA,NA,162,TL,NA,Eastern Indian Ocean,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
860,Carcharhinus amblyrhynchoides,5571,876,56138,female,56138,NA,NA,167,TL,NA,Indo-West Pacific,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
860,Carcharhinus amblyrhynchoides,5570,876,244,male,244,NA,NA,140,TL,NA,Indo-West Pacific,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
860,Carcharhinus amblyrhynchoides,5569,876,56138,male,56138,NA,NA,161,TL,NA,Eastern Indian Ocean,NA,2,02/02/2006 00:00,NA,02/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,733,877,31395,female,NA,NA,NA,255,TL,18,Not given.,NA,1,04/10/1999 00:00,NA,04/10/1999 00:00,NA,NA,NA,0,-1,NA
861,Carcharhinus amblyrhynchos,5578,877,56138,female,56138,NA,NA,178,TL,NA,Eastern Indian Ocean,NA,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5580,877,56138,female,56138,NA,NA,172,TL,NA,Northern Indian Ocean,NA,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5574,877,56138,female,56138,NA,NA,187,TL,12,not specified,840B,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5576,877,56138,female,56138,NA,NA,190,TL,NA,to be filled,840B,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5579,877,56138,male,56138,NA,NA,150,TL,NA,Eastern Indian Ocean,NA,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5581,877,56138,male,56138,NA,NA,168,TL,NA,Northern Indian Ocean,NA,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5575,877,56138,male,56138,NA,NA,174,TL,12,not specified,840B,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5577,877,56138,male,56138,NA,NA,185,TL,NA,to be filled,840B,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,5837,877,37816,unsexed,37816,NA,NA,NA,NA,25,to be filled,583,2,11/05/2006 00:00,NA,11/05/2006 00:00,NA,NA,NA,0,0,NA
861,Carcharhinus amblyrhynchos,8031,877,58048,unsexed,NA,NA,NA,232,TL,NA,not specified,360,1790,13/02/2008 23:17,NA,13/02/2008 23:17,NA,NA,NA,0,0,NA
862,Carcharhinus amboinensis,5586,878,56138,female,56138,NA,NA,243,TL,NA,Eastern Indian Ocean,NA,2,03/02/2006 00:00,NA,03/02/2006 00:00,NA,NA,NA,0,0,NA
