Species,StockCode,Sex,Temperature,StockDefs,StockDefsGeneral
Carcharhinus acronotus,873,female,21.5,"Western Atlantic:  North Carolina, USA to southern Brazil and Uruguay (Ref. 58839), including the Gulf of Mexico and the Caribbean.",Western Atlantic
Carcharhinus acronotus,873,female,21.5,"Western Atlantic:  North Carolina, USA to southern Brazil and Uruguay (Ref. 58839), including the Gulf of Mexico and the Caribbean.",Western Atlantic
Carcharhinus acronotus,873,female,24,"Western Atlantic:  North Carolina, USA to southern Brazil and Uruguay (Ref. 58839), including the Gulf of Mexico and the Caribbean.",Western Atlantic
Carcharhinus amblyrhynchos,877,unsexed,25,Indo-West Pacific to Central Pacific:  Madagascar and the Mauritius-Seychelles area to Tuamoto Archipelago; north to southern China; south to northern Australia.,Indo-Pacific
Carcharhinus brachyurus,880,unsexed,21,"Western Atlantic:  Mexico, Gulf of Mexico, Brazil to Argentina.  Eastern Atlantic:  off France southward and around the coast of southern Africa to central Natal, South Africa (Ref. 5578), including the Mediterranean.  Possibly two separate populations in southern Africa (Ref. 3209).  Western Pacific:  Japan to New Zealand.  Eastern Pacific:  southern California, USA to the Gulf of California in Mexico and Peru.",NA
Carcharhinus brevipinna,881,unsexed,25,"Atlantic, Mediterranean and Indo-West Pacific, warm temperate and tropical.  Often referred to as <i>Carcharhinus limbatus</i> in the past.","Atlantic, Mediterranean, Indian, Western Pacific"
Carcharhinus falciformis,884,unsexed,21,"Circumtropical.  Western Atlantic:  Massachusetts, USA to southern Brazil, including the Gulf of Mexico and the Caribbean Sea to Uruguay (Ref. 58839).  Eastern Atlantic:  Spain, Madeira to northern Angola; St. Paul's Rocks (Ref. 13121); Cape Verde (Ref. 34514).  Indo-Pacific:  scattered records from the Red Sea and Natal, South Africa (Ref. 5578) to China, New Zealand, and the Caroline, Hawaiian, Phoenix and Line islands.  Eastern Pacific:  southern Baja California, Mexico to northern Chile.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",Circumtropical
Carcharhinus falciformis,884,female,21,"Circumtropical.  Western Atlantic:  Massachusetts, USA to southern Brazil, including the Gulf of Mexico and the Caribbean Sea to Uruguay (Ref. 58839).  Eastern Atlantic:  Spain, Madeira to northern Angola; St. Paul's Rocks (Ref. 13121); Cape Verde (Ref. 34514).  Indo-Pacific:  scattered records from the Red Sea and Natal, South Africa (Ref. 5578) to China, New Zealand, and the Caroline, Hawaiian, Phoenix and Line islands.  Eastern Pacific:  southern Baja California, Mexico to northern Chile.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",Circumtropical
Carcharhinus falciformis,884,mixed,20,"Circumtropical.  Western Atlantic:  Massachusetts, USA to southern Brazil, including the Gulf of Mexico and the Caribbean Sea to Uruguay (Ref. 58839).  Eastern Atlantic:  Spain, Madeira to northern Angola; St. Paul's Rocks (Ref. 13121); Cape Verde (Ref. 34514).  Indo-Pacific:  scattered records from the Red Sea and Natal, South Africa (Ref. 5578) to China, New Zealand, and the Caroline, Hawaiian, Phoenix and Line islands.  Eastern Pacific:  southern Baja California, Mexico to northern Chile.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).",Circumtropical
Carcharhinus galapagensis,886,unsexed,22,"Circumtropical with a preference for waters around oceanic islands.  Eastern Atlantic:  including St. Paul's Rocks (Refs. 13121, 52289).  Western Indian Ocean:  including Walter's Shoal, south of Madagascar.  Western Pacific:  including Middleton and Elizabeth Reefs.  Eastern Pacific:  Gal<e1>pagos (Ref. 58896).",NA
Carcharhinus isodon,888,female,21.8,"Western Atlantic:  North Carolina, USA to Cuba, the Gulf of Mexico, and southern Brazil to Uruguay (Ref. 58839).  Occurrence in the eastern Atlantic, specifically in Senegal and Guinea-Bissau have not been confirmed, and may be based on <i>Carcharhinus brevipinna</i>.",Western Atlantic
